review_id,farmer_id,crop,text,rating,sentiment
review_00031,farmer_0044,Potato,Delivery was late but produce quality was good. Price was fair.,3,neutral
review_00032,farmer_0010,Banana,Excellent quality tomatoes! Very fresh and delivered on time.,5,positive
review_00033,farmer_0019,Chilli,Not satisfied. Price changed after ordering. Not ordering again.,2,negative
review_00034,farmer_0022,Banana,Delivery was late but produce quality was good. Recommended!,3,neutral
review_00035,farmer_0033,Sugarcane,Amazing farmer! Always delivers premium quality.,5,positive
review_00036,farmer_0038,Cauliflower,Fresh and clean vegetables. Packaging was great. Delivery took too long.,4,positive
review_00037,farmer_0037,Cabbage,Decent quality. Will order again if price drops.,3,neutral
review_00038,farmer_0030,Rice,Quantity was less than ordered. Disappointed.,2,negative
review_00039,farmer_0009,Banana,Decent quality. Will order again if price drops.,3,neutral
review_00040,farmer_0001,Rice,Very fresh and organic. Highly recommended. Will buy again.,5,positive
review_00041,farmer_0019,Rice,Good value for money. Will definitely reorder.,4,positive
review_00042,farmer_0002,Tomato,Decent quality. Will order again if price drops. Recommended!,3,neutral
review_00043,farmer_0021,Potato,Amazing farmer! Always delivers premium quality. Will buy again.,5,positive
review_00044,farmer_0015,Tomato,Amazing farmer! Always delivers premium quality.,5,positive
review_00045,farmer_0046,Banana,Quantity was less than ordered. Disappointed.,2,negative
review_00046,farmer_0037,Carrot,"Good produce, slightly overpriced but worth it.",4,positive
review_00047,farmer_0018,Groundnut,Not satisfied. Price changed after ordering.,2,negative
review_00048,farmer_0033,Carrot,Good value for money. Will definitely reorder.,4,positive
review_00049,farmer_0023,Onion,Quantity was less than ordered. Disappointed.,2,negative
review_00050,farmer_0025,Potato,Decent quality. Will order again if price drops.,3,neutral
review_00051,farmer_0029,Cotton,Average quality. Onions had some bad ones mixed in.,3,neutral
review_00052,farmer_0004,Tomato,Delivery was late but produce quality was good.,3,neutral
review_00053,farmer_0009,Rice,Average quality. Onions had some bad ones mixed in. Recommended!,3,neutral
review_00054,farmer_0003,Chilli,Love the eco-friendly packaging. Vegetables are fresh.,5,positive
review_00055,farmer_0029,Cabbage,Very fresh and organic. Highly recommended.,5,positive
review_00056,farmer_0007,Potato,"Quality inconsistent. Sometimes good, sometimes bad.",3,neutral
review_00057,farmer_0034,Carrot,Delivery was late but produce quality was good. Not ordering again.,3,neutral
review_00058,farmer_0007,Cauliflower,Fresh and clean vegetables. Packaging was great. Not ordering again.,4,positive
review_00059,farmer_0011,Cotton,Decent quality. Will order again if price drops.,3,neutral
review_00060,farmer_0001,Chilli,"Quality inconsistent. Sometimes good, sometimes bad.",3,neutral
review_00061,farmer_0028,Tomato,"Good produce, slightly overpriced but worth it.",4,positive
review_00062,farmer_0008,Cabbage,Fresh and clean vegetables. Packaging was great.,4,positive
review_00063,farmer_0032,Lady Finger,Average quality. Onions had some bad ones mixed in. Will buy again.,3,neutral
review_00064,farmer_0032,Coconut,Decent quality. Will order again if price drops. Not ordering again.,3,neutral
review_00065,farmer_0025,Cotton,Amazing farmer! Always delivers premium quality. Delivery took too long.,5,positive
review_00066,farmer_0021,Potato,Terrible experience. Vegetables were rotten on arrival.,1,negative
review_00067,farmer_0021,Cabbage,Quantity was less than ordered. Disappointed.,2,negative
review_00068,farmer_0019,Banana,Decent quality. Will order again if price drops.,3,neutral
review_00069,farmer_0011,Cotton,Outstanding! Best rice I have ever bought online. Will buy again.,5,positive
review_00070,farmer_0010,Banana,Outstanding! Best rice I have ever bought online.,5,positive
review_00071,farmer_0026,Rice,Decent quality. Will order again if price drops.,3,neutral
review_00072,farmer_0016,Brinjal,Fresh and clean vegetables. Packaging was great. Price was fair.,4,positive
review_00073,farmer_0003,Rice,"Good produce, slightly overpriced but worth it.",4,positive
review_00074,farmer_0008,Cauliflower,"Good produce, slightly overpriced but worth it.",4,positive
review_00075,farmer_0025,Coconut,Decent quality. Will order again if price drops. Will buy again.,3,neutral
review_00076,farmer_0008,Cauliflower,Very fresh and organic. Highly recommended.,5,positive
review_00077,farmer_0039,Cotton,Outstanding! Best rice I have ever bought online.,5,positive
review_00078,farmer_0027,Tomato,Terrible experience. Vegetables were rotten on arrival.,1,negative
review_00079,farmer_0030,Cauliflower,Very fresh and organic. Highly recommended. Not ordering again.,5,positive
review_00080,farmer_0033,Carrot,Good value for money. Will definitely reorder.,4,positive
review_00081,farmer_0007,Cabbage,"Quality inconsistent. Sometimes good, sometimes bad.",3,neutral
review_00082,farmer_0040,Potato,Amazing farmer! Always delivers premium quality.,5,positive
review_00083,farmer_0025,Coconut,Fresh and clean vegetables. Packaging was great.,4,positive
review_00084,farmer_0020,Sugarcane,Not satisfied. Price changed after ordering.,2,negative
review_00085,farmer_0036,Coconut,Quantity was less than ordered. Disappointed.,2,negative
review_00086,farmer_0003,Rice,Good value for money. Will definitely reorder. Recommended!,4,positive
review_00087,farmer_0013,Cotton,Outstanding! Best rice I have ever bought online. Recommended!,5,positive
review_00088,farmer_0008,Cabbage,"Good produce, slightly overpriced but worth it.",4,positive
review_00089,farmer_0007,Banana,"Quality inconsistent. Sometimes good, sometimes bad.",3,neutral
review_00090,farmer_0022,Cauliflower,Excellent quality tomatoes! Very fresh and delivered on time.,5,positive
review_00091,farmer_0015,Potato,"Good produce, slightly overpriced but worth it.",4,positive
review_00092,farmer_0029,Cabbage,Delivery was late but produce quality was good.,3,neutral
review_00093,farmer_0020,Banana,Amazing farmer! Always delivers premium quality.,5,positive
review_00094,farmer_0027,Tomato,Quantity was less than ordered. Disappointed. Not ordering again.,2,negative
review_00095,farmer_0004,Cotton,Amazing farmer! Always delivers premium quality.,5,positive
review_00096,farmer_0007,Banana,Love the eco-friendly packaging. Vegetables are fresh.,5,positive
review_00097,farmer_0030,Lady Finger,Not satisfied. Price changed after ordering.,2,negative
review_00098,farmer_0007,Banana,Terrible experience. Vegetables were rotten on arrival. Will buy again.,1,negative
review_00099,farmer_0049,Cauliflower,Good value for money. Will definitely reorder.,4,positive
review_00100,farmer_0009,Cotton,Very fresh and organic. Highly recommended. Price was fair.,5,positive
review_00101,farmer_0043,Brinjal,Average quality. Onions had some bad ones mixed in.,3,neutral
review_00102,farmer_0030,Sugarcane,Amazing farmer! Always delivers premium quality. Recommended!,5,positive
review_00103,farmer_0029,Banana,Outstanding! Best rice I have ever bought online. Will buy again.,5,positive
review_00104,farmer_0038,Carrot,Outstanding! Best rice I have ever bought online.,5,positive
review_00105,farmer_0029,Tomato,Love the eco-friendly packaging. Vegetables are fresh.,5,positive
review_00106,farmer_0016,Carrot,Amazing farmer! Always delivers premium quality.,5,positive
review_00107,farmer_0026,Sugarcane,"Good produce, slightly overpriced but worth it.",4,positive
review_00108,farmer_0041,Groundnut,Amazing farmer! Always delivers premium quality. Will buy again.,5,positive
review_00109,farmer_0002,Rice,Outstanding! Best rice I have ever bought online. Price was fair.,5,positive
review_00110,farmer_0029,Chilli,Average quality. Onions had some bad ones mixed in.,3,neutral
review_00111,farmer_0045,Coconut,Terrible experience. Vegetables were rotten on arrival.,1,negative
review_00112,farmer_0026,Rice,Decent quality. Will order again if price drops. Price was fair.,3,neutral
review_00113,farmer_0003,Onion,"Good produce, slightly overpriced but worth it.",4,positive
review_00114,farmer_0039,Groundnut,Excellent quality tomatoes! Very fresh and delivered on time.,5,positive
review_00115,farmer_0027,Cotton,Not satisfied. Price changed after ordering.,2,negative
review_00116,farmer_0026,Tomato,"Good produce, slightly overpriced but worth it. Will buy again.",4,positive
review_00117,farmer_0002,Tomato,Very fresh and organic. Highly recommended.,5,positive
review_00118,farmer_0034,Groundnut,Outstanding! Best rice I have ever bought online.,5,positive
review_00119,farmer_0036,Groundnut,Quantity was less than ordered. Disappointed.,2,negative
review_00120,farmer_0038,Cabbage,Good value for money. Will definitely reorder.,4,positive
review_00121,farmer_0033,Banana,Decent quality. Will order again if price drops.,3,neutral
review_00122,farmer_0042,Rice,Decent quality. Will order again if price drops. Recommended!,3,neutral
review_00123,farmer_0002,Tomato,Very fresh and organic. Highly recommended.,5,positive
review_00124,farmer_0030,Tomato,Love the eco-friendly packaging. Vegetables are fresh.,5,positive
review_00125,farmer_0049,Cabbage,Good value for money. Will definitely reorder. Price was fair.,4,positive
review_00126,farmer_0021,Carrot,Terrible experience. Vegetables were rotten on arrival.,1,negative
review_00127,farmer_0013,Cotton,Love the eco-friendly packaging. Vegetables are fresh.,5,positive
review_00128,farmer_0003,Brinjal,Terrible experience. Vegetables were rotten on arrival.,1,negative
review_00129,farmer_0029,Onion,Decent quality. Will order again if price drops. Recommended!,3,neutral
review_00130,farmer_0028,Cabbage,Amazing farmer! Always delivers premium quality.,5,positive
review_00131,farmer_0018,Carrot,Excellent quality tomatoes! Very fresh and delivered on time.,5,positive
review_00132,farmer_0018,Banana,Excellent quality tomatoes! Very fresh and delivered on time. Recommended!,5,positive
review_00133,farmer_0022,Cabbage,Outstanding! Best rice I have ever bought online. Not ordering again.,5,positive
review_00134,farmer_0018,Rice,Amazing farmer! Always delivers premium quality.,5,positive
review_00135,farmer_0020,Coconut,Terrible experience. Vegetables were rotten on arrival. Delivery took too long.,1,negative
review_00136,farmer_0045,Cauliflower,Amazing farmer! Always delivers premium quality.,5,positive
review_00137,farmer_0011,Rice,Delivery was late but produce quality was good.,3,neutral
review_00138,farmer_0031,Cotton,Amazing farmer! Always delivers premium quality.,5,positive
review_00139,farmer_0047,Rice,Not satisfied. Price changed after ordering. Will buy again.,2,negative
review_00140,farmer_0049,Tomato,Delivery was late but produce quality was good. Recommended!,3,neutral
review_00141,farmer_0038,Carrot,Outstanding! Best rice I have ever bought online.,5,positive
review_00142,farmer_0026,Chilli,Average quality. Onions had some bad ones mixed in.,3,neutral
review_00143,farmer_0046,Onion,Terrible experience. Vegetables were rotten on arrival.,1,negative
review_00144,farmer_0042,Cabbage,Fresh and clean vegetables. Packaging was great.,4,positive
review_00145,farmer_0014,Carrot,Quantity was less than ordered. Disappointed. Price was fair.,2,negative
review_00146,farmer_0028,Sugarcane,"Quality inconsistent. Sometimes good, sometimes bad.",3,neutral
review_00147,farmer_0032,Sugarcane,Love the eco-friendly packaging. Vegetables are fresh. Delivery took too long.,5,positive
review_00148,farmer_0048,Cotton,Fresh and clean vegetables. Packaging was great. Will buy again.,4,positive
review_00149,farmer_0034,Groundnut,Decent quality. Will order again if price drops.,3,neutral
review_00150,farmer_0043,Rice,"Quality inconsistent. Sometimes good, sometimes bad.",3,neutral
review_00151,farmer_0031,Coconut,"Quality inconsistent. Sometimes good, sometimes bad.",3,neutral
review_00152,farmer_0030,Coconut,Good value for money. Will definitely reorder.,4,positive
review_00153,farmer_0016,Banana,"Good produce, slightly overpriced but worth it. Recommended!",4,positive
review_00154,farmer_0049,Brinjal,Amazing farmer! Always delivers premium quality. Recommended!,5,positive
review_00155,farmer_0029,Cauliflower,Love the eco-friendly packaging. Vegetables are fresh.,5,positive
review_00156,farmer_0024,Chilli,Excellent quality tomatoes! Very fresh and delivered on time.,5,positive
review_00157,farmer_0031,Cabbage,Decent quality. Will order again if price drops.,3,neutral
review_00158,farmer_0030,Carrot,Terrible experience. Vegetables were rotten on arrival.,1,negative
review_00159,farmer_0025,Potato,Average quality. Onions had some bad ones mixed in. Recommended!,3,neutral
review_00160,farmer_0036,Carrot,Delivery was late but produce quality was good. Delivery took too long.,3,neutral
review_00161,farmer_0024,Cotton,Terrible experience. Vegetables were rotten on arrival.,1,negative
review_00162,farmer_0026,Rice,Outstanding! Best rice I have ever bought online.,5,positive
review_00163,farmer_0045,Carrot,"Quality inconsistent. Sometimes good, sometimes bad.",3,neutral
review_00164,farmer_0043,Coconut,Quantity was less than ordered. Disappointed. Not ordering again.,2,negative
review_00165,farmer_0032,Tomato,Not satisfied. Price changed after ordering.,2,negative
review_00166,farmer_0039,Sugarcane,"Quality inconsistent. Sometimes good, sometimes bad.",3,neutral
review_00167,farmer_0031,Sugarcane,Terrible experience. Vegetables were rotten on arrival. Will buy again.,1,negative
review_00168,farmer_0047,Lady Finger,"Quality inconsistent. Sometimes good, sometimes bad.",3,neutral
review_00169,farmer_0048,Carrot,Very fresh and organic. Highly recommended.,5,positive
review_00170,farmer_0009,Carrot,Average quality. Onions had some bad ones mixed in.,3,neutral
review_00171,farmer_0004,Chilli,"Quality inconsistent. Sometimes good, sometimes bad.",3,neutral
review_00172,farmer_0012,Groundnut,Excellent quality tomatoes! Very fresh and delivered on time.,5,positive
review_00173,farmer_0008,Coconut,Excellent quality tomatoes! Very fresh and delivered on time. Recommended!,5,positive
review_00174,farmer_0006,Cabbage,Good value for money. Will definitely reorder.,4,positive
review_00175,farmer_0027,Onion,Delivery was late but produce quality was good.,3,neutral
review_00176,farmer_0013,Lady Finger,"Quality inconsistent. Sometimes good, sometimes bad.",3,neutral
review_00177,farmer_0050,Sugarcane,Outstanding! Best rice I have ever bought online.,5,positive
review_00178,farmer_0006,Potato,Amazing farmer! Always delivers premium quality.,5,positive
review_00179,farmer_0001,Tomato,"Good produce, slightly overpriced but worth it.",4,positive
review_00180,farmer_0033,Potato,Not satisfied. Price changed after ordering.,2,negative
review_00181,farmer_0034,Cabbage,Not satisfied. Price changed after ordering.,2,negative
review_00182,farmer_0025,Cabbage,Outstanding! Best rice I have ever bought online.,5,positive
review_00183,farmer_0049,Coconut,Amazing farmer! Always delivers premium quality.,5,positive
review_00184,farmer_0046,Cabbage,Not satisfied. Price changed after ordering.,2,negative
review_00185,farmer_0031,Potato,Decent quality. Will order again if price drops.,3,neutral
review_00186,farmer_0014,Onion,Terrible experience. Vegetables were rotten on arrival.,1,negative
review_00187,farmer_0034,Onion,Excellent quality tomatoes! Very fresh and delivered on time. Not ordering again.,5,positive
review_00188,farmer_0030,Coconut,Quantity was less than ordered. Disappointed.,2,negative
review_00189,farmer_0027,Cabbage,Terrible experience. Vegetables were rotten on arrival.,1,negative
review_00190,farmer_0021,Sugarcane,Love the eco-friendly packaging. Vegetables are fresh.,5,positive
review_00191,farmer_0009,Onion,Very fresh and organic. Highly recommended. Will buy again.,5,positive
review_00192,farmer_0036,Potato,Good value for money. Will definitely reorder.,4,positive
review_00193,farmer_0014,Cotton,Love the eco-friendly packaging. Vegetables are fresh. Price was fair.,5,positive
review_00194,farmer_0026,Cabbage,"Good produce, slightly overpriced but worth it.",4,positive
review_00195,farmer_0005,Coconut,Outstanding! Best rice I have ever bought online. Price was fair.,5,positive
review_00196,farmer_0046,Rice,Not satisfied. Price changed after ordering.,2,negative
review_00197,farmer_0027,Banana,"Quality inconsistent. Sometimes good, sometimes bad. Will buy again.",3,neutral
review_00198,farmer_0039,Rice,Good value for money. Will definitely reorder. Price was fair.,4,positive
review_00199,farmer_0021,Cauliflower,Very fresh and organic. Highly recommended.,5,positive
review_00200,farmer_0005,Groundnut,Not satisfied. Price changed after ordering.,2,negative
review_00201,farmer_0018,Tomato,"Quality inconsistent. Sometimes good, sometimes bad.",3,neutral
review_00202,farmer_0037,Coconut,"Quality inconsistent. Sometimes good, sometimes bad. Will buy again.",3,neutral
review_00203,farmer_0047,Rice,"Good produce, slightly overpriced but worth it.",4,positive
review_00204,farmer_0009,Cotton,Not satisfied. Price changed after ordering. Not ordering again.,2,negative
review_00205,farmer_0041,Cotton,Love the eco-friendly packaging. Vegetables are fresh.,5,positive
review_00206,farmer_0007,Potato,Very fresh and organic. Highly recommended.,5,positive
review_00207,farmer_0016,Brinjal,Very fresh and organic. Highly recommended.,5,positive
review_00208,farmer_0037,Chilli,Amazing farmer! Always delivers premium quality. Delivery took too long.,5,positive
review_00209,farmer_0012,Chilli,"Quality inconsistent. Sometimes good, sometimes bad.",3,neutral
review_00210,farmer_0027,Cotton,Average quality. Onions had some bad ones mixed in.,3,neutral
review_00211,farmer_0018,Cotton,Outstanding! Best rice I have ever bought online. Delivery took too long.,5,positive
review_00212,farmer_0048,Coconut,Terrible experience. Vegetables were rotten on arrival.,1,negative
review_00213,farmer_0047,Lady Finger,Very fresh and organic. Highly recommended.,5,positive
review_00214,farmer_0008,Onion,Very fresh and organic. Highly recommended.,5,positive
review_00215,farmer_0015,Rice,Outstanding! Best rice I have ever bought online.,5,positive
review_00216,farmer_0002,Carrot,Excellent quality tomatoes! Very fresh and delivered on time.,5,positive
review_00217,farmer_0021,Lady Finger,Fresh and clean vegetables. Packaging was great.,4,positive
review_00218,farmer_0022,Chilli,Quantity was less than ordered. Disappointed.,2,negative
review_00219,farmer_0044,Coconut,Fresh and clean vegetables. Packaging was great.,4,positive
review_00220,farmer_0050,Coconut,Good value for money. Will definitely reorder.,4,positive
review_00221,farmer_0011,Cotton,Love the eco-friendly packaging. Vegetables are fresh.,5,positive
review_00222,farmer_0040,Tomato,Quantity was less than ordered. Disappointed.,2,negative
review_00223,farmer_0037,Onion,Average quality. Onions had some bad ones mixed in.,3,neutral
review_00224,farmer_0025,Rice,Fresh and clean vegetables. Packaging was great. Not ordering again.,4,positive
review_00225,farmer_0012,Cauliflower,Quantity was less than ordered. Disappointed. Price was fair.,2,negative
review_00226,farmer_0026,Sugarcane,Fresh and clean vegetables. Packaging was great.,4,positive
review_00227,farmer_0021,Lady Finger,Excellent quality tomatoes! Very fresh and delivered on time. Will buy again.,5,positive
review_00228,farmer_0012,Carrot,Outstanding! Best rice I have ever bought online. Recommended!,5,positive
review_00229,farmer_0040,Carrot,Delivery was late but produce quality was good.,3,neutral
review_00230,farmer_0030,Cotton,Amazing farmer! Always delivers premium quality.,5,positive
review_00231,farmer_0037,Rice,Terrible experience. Vegetables were rotten on arrival.,1,negative
review_00232,farmer_0032,Cabbage,Amazing farmer! Always delivers premium quality.,5,positive
review_00233,farmer_0023,Onion,Amazing farmer! Always delivers premium quality.,5,positive
review_00234,farmer_0010,Banana,Amazing farmer! Always delivers premium quality.,5,positive
review_00235,farmer_0044,Onion,Fresh and clean vegetables. Packaging was great.,4,positive
review_00236,farmer_0026,Cauliflower,"Good produce, slightly overpriced but worth it. Will buy again.",4,positive
review_00237,farmer_0028,Potato,Quantity was less than ordered. Disappointed. Delivery took too long.,2,negative
review_00238,farmer_0042,Brinjal,Delivery was late but produce quality was good.,3,neutral
review_00239,farmer_0007,Potato,"Quality inconsistent. Sometimes good, sometimes bad.",3,neutral
review_00240,farmer_0019,Sugarcane,Delivery was late but produce quality was good.,3,neutral
review_00241,farmer_0002,Cotton,"Quality inconsistent. Sometimes good, sometimes bad. Will buy again.",3,neutral
review_00242,farmer_0024,Groundnut,Excellent quality tomatoes! Very fresh and delivered on time.,5,positive
review_00243,farmer_0045,Potato,Terrible experience. Vegetables were rotten on arrival. Delivery took too long.,1,negative
review_00244,farmer_0041,Banana,Amazing farmer! Always delivers premium quality.,5,positive
review_00245,farmer_0033,Brinjal,Not satisfied. Price changed after ordering.,2,negative
review_00246,farmer_0011,Cotton,Terrible experience. Vegetables were rotten on arrival.,1,negative
review_00247,farmer_0044,Sugarcane,"Good produce, slightly overpriced but worth it. Price was fair.",4,positive
review_00248,farmer_0006,Potato,Decent quality. Will order again if price drops.,3,neutral
review_00249,farmer_0046,Groundnut,Not satisfied. Price changed after ordering.,2,negative
review_00250,farmer_0019,Lady Finger,Delivery was late but produce quality was good.,3,neutral
review_00251,farmer_0031,Potato,Delivery was late but produce quality was good. Recommended!,3,neutral
review_00252,farmer_0002,Lady Finger,Excellent quality tomatoes! Very fresh and delivered on time. Price was fair.,5,positive
review_00253,farmer_0017,Cabbage,Outstanding! Best rice I have ever bought online. Price was fair.,5,positive
review_00254,farmer_0032,Carrot,Not satisfied. Price changed after ordering. Will buy again.,2,negative
review_00255,farmer_0014,Coconut,Fresh and clean vegetables. Packaging was great.,4,positive
review_00256,farmer_0011,Carrot,Very fresh and organic. Highly recommended.,5,positive
review_00257,farmer_0023,Chilli,Fresh and clean vegetables. Packaging was great.,4,positive
review_00258,farmer_0002,Tomato,"Good produce, slightly overpriced but worth it.",4,positive
review_00259,farmer_0003,Lady Finger,Delivery was late but produce quality was good.,3,neutral
review_00260,farmer_0045,Lady Finger,"Good produce, slightly overpriced but worth it.",4,positive
review_00261,farmer_0009,Groundnut,Good value for money. Will definitely reorder. Will buy again.,4,positive
review_00262,farmer_0001,Rice,Love the eco-friendly packaging. Vegetables are fresh. Recommended!,5,positive
review_00263,farmer_0009,Potato,Very fresh and organic. Highly recommended. Price was fair.,5,positive
review_00264,farmer_0010,Sugarcane,Terrible experience. Vegetables were rotten on arrival.,1,negative
review_00265,farmer_0001,Sugarcane,Not satisfied. Price changed after ordering.,2,negative
review_00266,farmer_0044,Potato,Love the eco-friendly packaging. Vegetables are fresh. Not ordering again.,5,positive
review_00267,farmer_0018,Rice,Love the eco-friendly packaging. Vegetables are fresh.,5,positive
review_00268,farmer_0014,Carrot,Quantity was less than ordered. Disappointed.,2,negative
review_00269,farmer_0050,Carrot,"Good produce, slightly overpriced but worth it.",4,positive
review_00270,farmer_0036,Tomato,Average quality. Onions had some bad ones mixed in.,3,neutral
review_00271,farmer_0027,Sugarcane,"Quality inconsistent. Sometimes good, sometimes bad.",3,neutral
review_00272,farmer_0028,Carrot,Very fresh and organic. Highly recommended. Price was fair.,5,positive
review_00273,farmer_0031,Sugarcane,Very fresh and organic. Highly recommended.,5,positive
review_00274,farmer_0016,Rice,Not satisfied. Price changed after ordering.,2,negative
review_00275,farmer_0018,Cauliflower,"Quality inconsistent. Sometimes good, sometimes bad. Not ordering again.",3,neutral
review_00276,farmer_0025,Onion,Outstanding! Best rice I have ever bought online. Recommended!,5,positive
review_00277,farmer_0038,Brinjal,Very fresh and organic. Highly recommended.,5,positive
review_00278,farmer_0019,Banana,Excellent quality tomatoes! Very fresh and delivered on time. Delivery took too long.,5,positive
review_00279,farmer_0036,Tomato,Good value for money. Will definitely reorder.,4,positive
review_00280,farmer_0042,Onion,"Good produce, slightly overpriced but worth it.",4,positive
review_00281,farmer_0010,Carrot,Quantity was less than ordered. Disappointed.,2,negative
review_00282,farmer_0011,Lady Finger,Very fresh and organic. Highly recommended.,5,positive
review_00283,farmer_0019,Onion,Excellent quality tomatoes! Very fresh and delivered on time.,5,positive
review_00284,farmer_0021,Cabbage,"Good produce, slightly overpriced but worth it.",4,positive
review_00285,farmer_0027,Carrot,Excellent quality tomatoes! Very fresh and delivered on time.,5,positive
review_00286,farmer_0027,Onion,Amazing farmer! Always delivers premium quality.,5,positive
review_00287,farmer_0013,Onion,Fresh and clean vegetables. Packaging was great.,4,positive
review_00288,farmer_0046,Chilli,Delivery was late but produce quality was good.,3,neutral
review_00289,farmer_0045,Potato,Delivery was late but produce quality was good. Will buy again.,3,neutral
review_00290,farmer_0036,Cauliflower,Average quality. Onions had some bad ones mixed in.,3,neutral
review_00291,farmer_0036,Rice,Excellent quality tomatoes! Very fresh and delivered on time.,5,positive
review_00292,farmer_0041,Banana,Quantity was less than ordered. Disappointed.,2,negative
review_00293,farmer_0018,Sugarcane,Terrible experience. Vegetables were rotten on arrival.,1,negative
review_00294,farmer_0046,Banana,Excellent quality tomatoes! Very fresh and delivered on time.,5,positive
review_00295,farmer_0012,Chilli,Quantity was less than ordered. Disappointed.,2,negative
review_00296,farmer_0013,Carrot,Fresh and clean vegetables. Packaging was great.,4,positive
review_00297,farmer_0006,Onion,Delivery was late but produce quality was good. Recommended!,3,neutral
review_00298,farmer_0011,Cabbage,Love the eco-friendly packaging. Vegetables are fresh.,5,positive
review_00299,farmer_0044,Groundnut,Delivery was late but produce quality was good.,3,neutral
review_00300,farmer_0046,Lady Finger,"Quality inconsistent. Sometimes good, sometimes bad. Price was fair.",3,neutral
review_00301,farmer_0026,Tomato,Decent quality. Will order again if price drops.,3,neutral
review_00302,farmer_0018,Lady Finger,Terrible experience. Vegetables were rotten on arrival. Price was fair.,1,negative
review_00303,farmer_0002,Banana,Amazing farmer! Always delivers premium quality. Will buy again.,5,positive
review_00304,farmer_0035,Cauliflower,Love the eco-friendly packaging. Vegetables are fresh.,5,positive
review_00305,farmer_0046,Cotton,Good value for money. Will definitely reorder.,4,positive
review_00306,farmer_0035,Groundnut,Amazing farmer! Always delivers premium quality.,5,positive
review_00307,farmer_0020,Cabbage,"Good produce, slightly overpriced but worth it.",4,positive
review_00308,farmer_0015,Chilli,Love the eco-friendly packaging. Vegetables are fresh. Delivery took too long.,5,positive
review_00309,farmer_0045,Cotton,Fresh and clean vegetables. Packaging was great.,4,positive
review_00310,farmer_0024,Carrot,Outstanding! Best rice I have ever bought online.,5,positive
review_00311,farmer_0048,Cotton,Love the eco-friendly packaging. Vegetables are fresh. Not ordering again.,5,positive
review_00312,farmer_0029,Chilli,Delivery was late but produce quality was good.,3,neutral
review_00313,farmer_0039,Cabbage,Quantity was less than ordered. Disappointed.,2,negative
review_00314,farmer_0029,Carrot,"Good produce, slightly overpriced but worth it. Will buy again.",4,positive
review_00315,farmer_0002,Sugarcane,Good value for money. Will definitely reorder.,4,positive
review_00316,farmer_0030,Groundnut,Outstanding! Best rice I have ever bought online.,5,positive
review_00317,farmer_0017,Chilli,Average quality. Onions had some bad ones mixed in.,3,neutral
